squad,possession,games,goals,goals_against_gk,shots_total,shots_on_target_pct,passes_pct_short,passes_pct_medium,passes_pct_long,tackles,tackles_won,dribble_tackles_pct,pressure_regain_pct,blocks,interceptions,touches,dribbles_completed_pct,carries,passes_received_pct,year,league
Saint-Étienne,48.0,28,28,45,303,32.0,86.0,85.1,57.0,585,378,37.2,30.4,407,276,16405,61.6,10274,83.4,2021,Ligue 1
Strasbourg,49.7,27,32,32,319,32.3,86.9,87.5,64.9,524,337,39.1,29.9,348,245,15862,61.8,10231,85.1,2021,Ligue 1
Toulouse,44.0,28,21,58,310,28.7,87.4,84.1,52.1,560,393,38.1,28.1,448,238,15612,63.8,9825,82.8,2021,Ligue 1
Angers,46.2,38,39,58,399,34.3,89.7,87.2,58.8,718,460,32.7,29.1,532,438,23291,55.4,15042,84.4,2021,Ligue 1
Bordeaux,49.7,38,41,57,413,33.4,89.8,88.2,64.2,615,413,35.7,29.4,544,438,23804,57.5,15697,86.0,2021,Ligue 1
Brest,49.3,38,47,66,444,35.4,87.1,87.5,64.8,697,436,37.2,28.3,539,372,23580,62.3,15145,85.5,2021,Ligue 1
Dijon,46.2,38,25,73,346,25.4,87.4,86.2,59.0,691,440,36.4,29.0,543,509,22256,62.5,13530,83.1,2021,Ligue 1
Lens,51.4,38,53,54,441,30.6,87.2,87.4,64.1,703,404,39.6,31.3,580,460,23406,60.6,14685,84.7,2021,Ligue 1
Lille,53.9,38,62,23,481,36.2,89.9,88.0,63.4,702,452,36.3,30.2,537,411,26131,58.3,17088,86.2,2021,Ligue 1
Lorient,44.6,38,48,69,421,31.6,88.0,86.0,56.8,803,482,34.7,28.9,571,482,21702,57.7,13066,83.7,2021,Ligue 1
Lyon,54.9,38,76,43,603,36.8,89.5,87.9,68.8,695,449,35.7,30.8,547,402,25826,62.2,16970,86.7,2021,Ligue 1
Marseille,53.9,38,53,47,373,35.1,88.8,87.7,59.9,778,468,40.5,30.6,547,427,24777,58.3,15585,84.5,2021,Ligue 1
Metz,45.3,38,42,49,423,30.5,87.8,86.2,58.5,770,462,37.7,30.6,597,450,21596,60.2,13406,83.2,2021,Ligue 1
Monaco,56.0,38,76,42,474,34.0,87.8,88.2,63.8,844,551,38.6,32.8,508,393,26168,62.2,17144,85.3,2021,Ligue 1
Montpellier,45.3,38,60,62,465,36.8,85.8,84.6,63.7,646,400,36.4,29.4,556,396,20905,54.3,12121,82.3,2021,Ligue 1
Nantes,43.7,40,47,55,404,30.2,86.3,82.6,52.5,790,454,39.5,31.0,595,418,21131,55.1,12351,80.4,2021,Ligue 1
Nice,54.5,38,49,53,400,35.3,90.1,90.5,64.6,677,425,40.2,29.1,528,380,25774,58.5,17716,87.7,2021,Ligue 1
Nîmes,44.4,38,40,71,383,34.5,86.3,85.5,57.6,712,433,36.5,28.7,649,475,21292,56.5,12814,81.1,2021,Ligue 1
Paris S-G,63.5,38,85,28,559,36.3,93.3,91.2,71.6,664,427,36.0,31.6,491,364,30233,57.3,21883,91.0,2021,Ligue 1
Reims,44.8,38,39,50,359,33.4,87.1,87.5,60.8,723,432,29.5,27.8,530,438,21476,63.1,13814,84.1,2021,Ligue 1
Rennes,59.5,38,50,40,509,31.4,89.8,90.0,68.3,685,455,34.6,31.0,497,340,28083,59.6,18580,87.8,2021,Ligue 1
Saint-Étienne,48.3,38,40,54,436,32.3,87.3,85.3,58.4,803,496,36.2,30.8,557,447,22484,55.9,13791,82.8,2021,Ligue 1
Strasbourg,45.6,38,49,58,421,29.9,85.4,86.1,62.5,719,472,36.6,31.4,516,512,21375,58.9,13247,82.2,2021,Ligue 1
Angers,49.4,25,27,36,240,30.4,88.9,89.7,67.6,479,305,40.0,28.7,367,395,15748,54.9,10565,88.2,2021,Ligue 1
Bordeaux,46.6,25,35,62,280,32.9,87.8,86.5,62.4,453,291,36.5,29.4,352,479,14322,53.0,9017,85.6,2021,Ligue 1
Brest,43.1,25,33,35,276,33.7,86.1,84.3,62.9,488,318,38.9,29.7,340,441,13792,51.3,8531,84.0,2021,Ligue 1
Clermont Foot,50.2,25,24,41,278,32.7,88.7,86.8,61.2,462,312,41.8,31.5,340,376,15800,57.6,10400,87.3,2021,Ligue 1
Lens,50.2,25,39,36,320,37.8,88.9,88.6,63.5,430,266,38.1,29.3,338,424,15903,56.4,10290,87.2,2021,Ligue 1
Lille,50.2,25,29,35,287,33.4,87.9,86.4,63.0,455,295,39.2,30.4,372,363,15251,54.6,9514,85.4,2021,Ligue 1
Lorient,44.1,25,19,39,273,30.8,86.5,85.5,58.9,515,319,38.1,29.5,350,430,14066,54.8,8492,84.2,2021,Ligue 1
Lyon,58.6,25,34,31,336,35.7,90.8,90.5,69.5,500,329,44.9,31.3,345,413,18533,56.0,12477,88.8,2021,Ligue 1
Marseille,61.5,25,37,23,343,30.6,92.2,91.8,71.5,410,256,39.6,32.1,288,323,18583,56.9,13318,90.7,2021,Ligue 1
Metz,41.9,25,23,45,248,32.3,86.2,86.1,56.4,551,343,42.6,29.7,435,473,13370,53.5,8091,83.8,2021,Ligue 1
Monaco,57.4,25,37,27,279,33.3,88.7,87.5,61.9,563,355,41.1,33.1,274,434,17134,59.1,11219,85.0,2021,Ligue 1
Montpellier,47.6,25,38,34,283,39.9,87.5,85.7,60.4,452,268,35.3,28.7,353,398,14431,57.3,8749,85.6,2021,Ligue 1
Nantes,42.3,25,33,29,264,34.8,86.9,83.6,56.6,542,317,41.0,27.9,352,418,13466,49.5,7906,82.3,2021,Ligue 1
Nice,51.5,25,37,21,283,35.7,89.5,88.8,63.0,471,277,42.3,31.0,380,430,15966,57.0,10921,88.1,2021,Ligue 1
Paris S-G,64.3,25,51,22,361,33.5,92.8,92.8,77.1,398,260,36.0,29.2,270,336,20326,56.6,15030,91.3,2021,Ligue 1
Reims,42.9,25,28,29,259,33.6,85.5,84.8,57.7,478,296,39.4,30.3,396,476,13398,57.4,8226,83.0,2021,Ligue 1
Rennes,55.5,25,46,23,379,33.8,88.4,88.9,72.1,395,233,40.6,29.2,354,331,16313,54.8,11067,87.8,2021,Ligue 1
Saint-Étienne,49.8,25,25,47,299,32.1,87.8,85.3,58.8,522,326,35.7,33.3,383,423,15202,52.7,9636,85.1,2021,Ligue 1
Strasbourg,49.5,25,45,31,305,32.5,87.8,86.0,59.3,508,303,42.2,29.7,354,415,15121,58.8,9315,84.2,2021,Ligue 1
Troyes,45.0,25,21,40,255,34.5,87.6,84.9,60.1,445,266,36.3,29.7,389,395,14003,55.4,8683,84.6,2021,Ligue 1
Atlanta Utd,54.0,34,67,44,506,36.4,87.2,87.6,67.0,561,352,32.2,27.2,467,232,21386,58.8,15026,92.6,2021,Major League Soccer
Chicago Fire,47.7,34,46,61,340,34.4,87.2,86.3,58.1,584,345,37.7,23.4,449,305,19683,60.3,13278,86.2,2021,Major League Soccer
Colorado Rapids,45.4,34,34,64,376,30.3,87.2,85.3,57.3,483,279,28.3,21.0,446,283,18948,64.0,12331,86.8,2021,Major League Soccer
Columbus Crew,52.7,34,41,44,484,30.4,87.6,87.2,65.9,491,335,35.8,26.7,467,270,21721,59.9,15027,88.5,2021,Major League Soccer
D.C. United,47.7,34,59,50,394,36.5,86.4,84.1,55.5,507,322,33.6,24.0,604,278,20420,57.1,13479,86.9,2021,Major League Soccer
FC Dallas,48.7,34,50,44,481,34.9,86.8,85.6,61.2,575,405,37.4,23.6,464,290,19412,66.1,12961,86.6,2021,Major League Soccer
Houston Dynamo,48.2,34,58,57,458,37.6,87.0,85.4,61.3,565,356,29.8,24.5,409,229,19241,62.8,13173,87.1,2021,Major League Soccer
LA Galaxy,48.7,34,66,65,415,36.6,86.7,84.4,56.3,576,369,33.6,24.4,448,299,19833,59.4,13175,85.6,2021,Major League Soccer
Los Angeles FC,53.1,34,65,50,522,36.8,88.0,88.3,63.5,554,356,38.1,26.1,436,323,21269,59.3,15073,89.3,2021,Major League Soccer
Minnesota Utd,45.5,34,48,70,376,35.9,86.4,83.0,56.1,665,446,36.3,25.4,530,338,19217,60.0,12306,84.8,2021,Major League Soccer
Montreal Impact,47.6,34,45,53,421,31.4,87.1,86.6,63.5,572,384,35.6,26.0,388,347,20168,59.9,13836,86.4,2021,Major League Soccer
New England,48.5,34,48,55,478,35.1,80.4,80.1,56.2,584,363,32.6,26.5,502,267,18974,53.3,11587,82.4,2021,Major League Soccer
NY Red Bulls,48.9,34,61,34,457,39.4,81.0,75.0,44.0,655,403,33.6,30.2,590,364,19510,55.5,11300,80.0,2021,Major League Soccer
NYCFC,58.9,34,57,45,532,31.4,87.9,87.5,62.5,589,404,31.6,29.1,484,266,23690,60.3,16440,88.8,2021,Major League Soccer
Orlando City,49.9,34,41,75,424,32.8,87.4,87.0,61.2,615,406,35.9,26.7,440,285,20288,62.1,13822,86.9,2021,Major League Soccer
Philadelphia,50.0,34,49,50,465,34.4,86.6,86.2,61.5,519,352,31.6,25.2,480,305,20814,65.5,14277,87.1,2021,Major League Soccer
Portland Timbers,47.0,34,52,48,452,35.2,85.3,84.7,61.6,538,337,35.4,24.7,489,262,19488,60.7,12968,86.0,2021,Major League Soccer
Real Salt Lake,54.9,34,55,56,459,40.5,88.5,87.8,65.0,570,351,35.6,24.8,401,252,21449,62.3,14941,87.8,2021,Major League Soccer
San Jose,47.6,34,47,71,439,32.6,86.6,85.4,58.6,562,348,36.5,23.5,472,305,19811,62.7,13000,85.8,2021,Major League Soccer
Seattle,50.3,34,49,37,431,29.2,86.1,85.8,62.1,629,396,34.3,25.1,502,310,21235,64.0,14149,86.7,2021,Major League Soccer
Sporting KC,56.6,34,65,41,573,33.7,88.2,88.9,66.0,507,340,35.9,26.6,392,240,22350,56.1,15481,88.4,2021,Major League Soccer
Toronto FC,53.8,34,58,64,475,36.4,88.0,87.8,63.1,505,333,32.0,27.6,433,252,23101,57.1,16280,87.7,2021,Major League Soccer
Vancouver,44.1,34,53,67,412,33.3,84.9,84.3,56.3,572,385,29.6,22.6,529,301,18278,64.3,11400,85.0,2021,Major League Soccer
Atlanta Utd,55.5,34,55,43,493,33.9,87.7,88.6,65.5,565,378,35.1,29.2,439,264,21848,65.0,15295,86.4,2021,Major League Soccer
Chicago Fire,48.8,34,53,47,461,34.1,88.5,86.7,57.8,547,357,32.6,26.5,433,314,19394,64.8,13073,84.7,2021,Major League Soccer
Colorado Rapids,42.0,34,57,63,463,34.1,86.1,85.2,53.3,544,360,28.3,23.7,504,310,17273,64.8,10531,82.3,2021,Major League Soccer
Columbus Crew,49.0,34,37,47,381,29.9,87.8,86.5,60.7,600,375,30.0,26.0,471,285,20419,58.6,13368,84.8,2021,Major League Soccer
D.C. United,47.6,34,41,38,414,27.5,87.2,86.1,57.2,614,397,33.0,26.4,592,271,20143,59.5,13174,83.9,2021,Major League Soccer
FC Cincinnati,46.5,34,29,75,353,31.4,86.5,85.5,59.2,576,357,35.1,25.4,491,309,18928,58.7,12115,82.9,2021,Major League Soccer
FC Dallas,53.2,34,51,46,456,35.5,89.2,89.3,67.9,630,408,33.3,24.4,459,280,21812,59.0,15267,87.6,2021,Major League Soccer
Houston Dynamo,47.1,34,45,59,440,31.1,89.0,87.7,60.2,616,367,37.3,25.1,453,218,19093,55.4,12918,85.5,2021,Major League Soccer
LA Galaxy,50.2,34,58,59,454,35.9,89.4,87.3,62.5,598,376,36.3,23.8,523,285,20661,63.7,14024,85.9,2021,Major League Soccer
Los Angeles FC,56.9,34,84,37,604,35.8,89.0,89.3,65.0,642,430,36.2,30.6,506,323,23432,59.9,16854,87.4,2021,Major League Soccer
Minnesota Utd,44.8,34,50,44,449,29.0,87.0,84.6,57.2,631,413,35.1,25.6,528,296,19217,64.0,12372,83.9,2021,Major League Soccer
Montreal Impact,49.1,34,44,60,375,29.9,87.2,87.2,63.9,603,388,30.6,26.2,406,282,20487,59.1,13975,84.9,2021,Major League Soccer
New England,45.1,34,49,57,428,30.6,84.8,82.3,55.4,599,376,33.5,26.7,472,265,18799,56.0,11985,81.7,2021,Major League Soccer
NY Red Bulls,46.7,34,49,51,431,34.1,82.5,73.9,40.2,743,468,37.5,30.4,557,329,18975,57.4,10612,75.3,2021,Major League Soccer
NYCFC,57.1,34,63,42,497,37.0,88.3,88.0,63.0,651,421,33.7,28.8,445,289,22082,63.2,14677,86.1,2021,Major League Soccer
Orlando City,47.9,34,44,52,377,31.6,88.4,85.1,59.3,574,362,34.7,25.6,453,235,19756,61.4,13181,84.0,2021,Major League Soccer
Philadelphia,52.9,34,57,50,464,34.3,88.4,87.7,60.7,664,443,36.3,27.8,486,300,21675,63.9,15040,86.1,2021,Major League Soccer
Portland Timbers,50.2,34,50,49,547,32.4,87.0,86.8,65.0,598,367,33.3,26.7,485,287,20786,64.2,13896,86.1,2021,Major League Soccer
Real Salt Lake,49.6,34,46,42,416,34.1,87.6,88.0,61.4,518,323,33.2,23.9,501,284,19960,65.4,13221,85.5,2021,Major League Soccer
San Jose,57.6,34,50,55,587,34.2,89.1,88.7,68.9,620,391,33.7,29.3,444,338,22211,64.2,15660,87.2,2021,Major League Soccer
Seattle,50.5,34,50,49,418,32.8,88.2,87.0,65.2,573,357,30.5,26.1,503,255,21178,62.4,14355,85.7,2021,Major League Soccer
Sporting KC,52.6,34,46,67,483,32.7,88.6,88.6,63.6,525,337,30.3,24.5,456,227,20945,59.5,14208,85.7,2021,Major League Soccer
Toronto FC,54.0,34,57,52,424,35.8,90.5,89.3,65.2,548,326,36.5,25.9,465,228,23085,61.0,16543,87.4,2021,Major League Soccer
Vancouver,45.1,34,37,59,350,36.3,88.4,88.1,58.2,505,318,31.8,22.4,513,303,19603,62.9,12990,85.5,2021,Major League Soccer
Atlanta Utd,54.8,23,23,30,209,36.8,89.3,89.5,70.1,384,240,36.7,30.1,301,109,14792,61.4,10372,89.3,2021,Major League Soccer
Chicago Fire,51.0,23,33,39,311,33.8,87.4,85.2,61.9,392,273,38.2,32.1,372,165,13921,61.3,8872,86.7,2021,Major League Soccer
Colorado Rapids,52.0,18,30,28,250,38.0,87.8,89.3,67.8,277,182,36.7,30.0,274,115,11267,57.3,7340,89.1,2021,Major League Soccer
Columbus Crew,52.2,23,34,21,243,36.2,87.5,87.9,67.4,393,244,35.8,31.6,343,132,13963,66.5,9060,86.9,2021,Major League Soccer
D.C. United,46.0,23,24,41,212,34.0,87.4,84.9,58.2,460,254,37.0,27.6,420,146,13373,59.4,8030,86.0,2021,Major League Soccer
FC Cincinnati,49.3,23,11,37,232,28.9,89.3,88.9,65.4,392,249,37.5,30.6,334,140,14009,57.5,8983,88.3,2021,Major League Soccer
FC Dallas,51.4,22,28,24,274,37.2,88.0,87.6,64.1,431,262,34.2,28.0,353,138,13548,56.4,8600,87.4,2021,Major League Soccer
Houston Dynamo,48.5,23,30,40,324,34.9,86.9,87.6,66.5,397,252,35.1,29.6,377,125,13898,56.0,8667,86.4,2021,Major League Soccer
Inter Miami,47.1,23,24,35,292,30.8,87.7,85.2,59.1,393,242,30.0,29.2,342,156,12678,56.2,7680,86.5,2021,Major League Soccer
LA Galaxy,45.0,22,26,46,246,35.8,87.3,83.2,55.9,421,268,36.2,27.9,345,143,12064,57.5,7384,85.2,2021,Major League Soccer
Los Angeles FC,58.6,22,45,39,353,37.4,88.6,86.4,61.3,456,309,32.6,35.9,378,134,15220,57.1,10066,86.0,2021,Major League Soccer
Minnesota Utd,47.3,21,33,27,282,35.5,88.7,84.2,58.4,417,277,38.7,31.8,372,136,12479,60.1,7496,86.1,2021,Major League Soccer
Montreal Impact,48.0,23,33,43,240,37.9,88.5,87.6,65.4,362,221,35.2,29.0,322,149,13522,63.4,8783,87.4,2021,Major League Soccer
Nashville,44.5,23,24,22,272,34.2,88.3,87.1,59.7,407,269,34.9,29.1,337,123,12976,57.9,7873,86.8,2021,Major League Soccer
New England,51.2,23,25,25,332,30.7,85.3,85.4,63.9,379,256,30.4,30.7,369,149,13989,59.5,8360,84.7,2021,Major League Soccer
NY Red Bulls,45.7,23,29,31,243,35.4,82.8,77.2,46.1,418,262,39.1,32.0,485,137,13030,54.6,7365,79.1,2021,Major League Soccer
NYCFC,56.0,23,36,25,356,38.5,88.5,87.0,64.5,496,302,40.4,32.8,377,151,15044,56.9,9451,86.7,2021,Major League Soccer
Orlando City,50.3,23,39,25,261,36.4,88.6,87.8,65.2,428,261,42.4,29.1,364,113,13721,58.4,8664,88.0,2021,Major League Soccer
Philadelphia,47.9,23,43,20,293,41.6,85.2,84.2,61.7,491,306,34.6,28.9,364,158,13119,61.5,7928,84.7,2021,Major League Soccer
Portland Timbers,46.5,23,46,32,257,40.1,87.0,86.0,63.2,394,243,34.3,28.0,394,154,13504,59.3,8332,86.1,2021,Major League Soccer
Real Salt Lake,52.3,22,23,35,276,26.4,87.6,86.5,58.8,414,241,36.0,31.5,331,126,13255,65.4,8384,87.1,2021,Major League Soccer
San Jose,55.7,23,34,51,299,36.8,89.1,88.3,68.4,409,269,35.2,31.0,348,152,14360,55.3,9546,87.6,2021,Major League Soccer
Seattle,54.5,22,42,23,277,33.6,88.7,87.9,70.2,392,246,39.2,31.0,277,150,14681,63.9,9541,87.7,2021,Major League Soccer
Sporting KC,49.7,21,37,25,307,31.9,86.7,87.6,62.1,356,237,37.8,29.9,319,136,12556,58.7,7878,87.8,2021,Major League Soccer
Toronto FC,54.5,23,33,26,279,39.4,90.6,88.8,64.5,385,250,36.1,32.9,336,95,15757,59.5,10280,88.5,2021,Major League Soccer
Vancouver,41.8,23,24,45,197,33.5,87.8,87.3,62.7,394,234,34.5,25.7,404,163,12412,59.4,7619,86.5,2021,Major League Soccer
Atlanta Utd,57.4,34,42,37,451,32.8,91.8,90.8,65.9,549,353,35.7,28.4,449,527,22020,64.9,15041,88.0,2021,Major League Soccer
Austin FC,54.0,34,34,56,450,32.4,90.6,89.2,67.8,569,340,31.8,28.0,479,428,21281,60.9,14214,87.7,2021,Major League Soccer
CF Montréal,52.9,34,45,44,392,32.7,89.6,89.7,65.9,488,302,38.3,28.9,457,469,21314,57.9,14326,87.3,2021,Major League Soccer
Chicago Fire,49.8,34,34,54,472,32.6,88.5,84.0,58.2,655,404,36.7,31.4,542,566,20236,58.7,12627,82.6,2021,Major League Soccer
Colorado Rapids,48.3,34,50,35,459,32.0,88.3,88.6,65.6,523,325,37.3,25.4,432,479,19519,61.8,12624,86.5,2021,Major League Soccer
Columbus Crew,51.7,34,41,45,394,34.0,89.3,89.0,63.1,549,341,43.3,28.4,464,521,20344,58.9,13551,85.5,2021,Major League Soccer
D.C. United,46.0,34,55,54,446,33.9,83.9,84.0,56.7,651,387,35.8,29.9,475,614,18404,50.1,10589,80.0,2021,Major League Soccer
FC Cincinnati,49.0,34,36,74,405,33.1,90.8,89.3,61.6,664,415,34.0,27.1,490,525,19908,58.3,12945,86.5,2021,Major League Soccer
FC Dallas,51.1,34,46,56,441,32.7,89.0,89.0,62.0,633,411,38.2,28.7,447,542,20782,61.9,13421,85.7,2021,Major League Soccer
Houston Dynamo,45.1,34,34,54,419,33.4,87.1,85.1,58.7,576,356,38.6,28.2,438,513,18286,55.8,11460,83.6,2021,Major League Soccer
Inter Miami,46.2,34,35,53,326,36.2,89.8,88.5,63.4,615,385,35.8,28.0,420,506,18934,55.2,12171,86.3,2021,Major League Soccer
LA Galaxy,54.3,34,47,54,429,33.8,90.4,89.5,65.6,597,382,39.6,27.6,461,483,22456,57.9,15196,88.2,2021,Major League Soccer
Los Angeles FC,49.8,34,51,51,517,33.5,88.5,85.8,55.9,708,428,38.6,30.3,501,651,20661,57.8,13163,84.4,2021,Major League Soccer
Minnesota Utd,50.1,34,41,44,506,27.5,88.1,85.8,60.6,637,431,37.1,30.6,463,528,20592,55.4,13322,85.1,2021,Major League Soccer
Nashville,46.5,34,54,33,454,39.0,87.7,87.3,63.4,583,355,40.2,27.6,421,490,19085,55.9,11963,85.9,2021,Major League Soccer
New England,50.9,34,62,41,497,34.4,87.4,87.6,64.6,597,366,38.1,29.0,498,502,20526,56.5,13008,85.3,2021,Major League Soccer
NY Red Bulls,48.1,34,39,33,490,27.8,83.9,79.7,49.3,716,439,39.3,33.1,595,673,18755,53.3,10410,77.8,2021,Major League Soccer
NYCFC,53.5,34,55,36,512,35.4,88.0,86.9,63.6,630,374,38.0,28.8,439,476,21254,57.3,13277,84.8,2021,Major League Soccer
Orlando City,51.1,34,49,48,397,34.3,89.9,88.7,66.2,569,363,34.8,26.5,444,481,20591,56.4,13203,87.7,2021,Major League Soccer
Philadelphia,48.2,34,45,35,429,34.0,85.3,83.4,61.3,706,449,36.8,30.7,513,576,19043,59.5,11714,81.9,2021,Major League Soccer
Portland Timbers,44.9,34,54,52,440,32.5,88.5,86.2,61.5,635,405,36.2,28.0,514,597,19288,55.7,12116,84.8,2021,Major League Soccer
Real Salt Lake,50.9,34,54,54,454,37.4,88.5,87.4,61.3,543,313,36.1,27.7,484,475,19693,56.2,12508,85.7,2021,Major League Soccer
San Jose,52.6,34,42,54,448,35.0,87.8,88.0,67.3,658,408,36.5,30.3,471,602,19959,57.4,12721,86.2,2021,Major League Soccer
Seattle,48.6,34,53,33,423,35.2,88.3,86.0,60.1,701,445,36.5,30.7,495,526,20260,61.3,12908,85.0,2021,Major League Soccer
Sporting KC,55.0,34,58,40,461,35.4,89.8,91.0,68.8,601,371,37.2,29.7,422,492,23036,55.0,15413,88.4,2021,Major League Soccer
Toronto FC,49.4,34,37,66,348,35.9,90.4,87.0,57.9,532,333,38.3,28.9,450,491,20841,59.7,13596,85.6,2021,Major League Soccer
Vancouver,46.1,34,43,45,344,32.8,87.5,87.1,61.6,593,351,41.2,26.3,521,525,18789,59.2,11831,84.1,2021,Major League Soccer
